run,profit,sales,lost,leftover,refilled,distance
424,2404.0,985,354,15,841,182.0
425,2444.0,1000,389,0,800,117.0
426,2376.0,998,400,2,800,118.0
427,2224.0,994,426,6,813,146.0
428,2360.0,999,407,1,805,134.0
429,2864.0,1000,284,0,800,93.0
430,2368.0,977,339,23,814,150.0
431,2428.0,1000,393,0,813,132.0
432,2308.0,990,393,10,808,146.0
433,2636.0,1000,341,0,800,121.0
434,1844.0,970,449,30,832,191.0
435,2576.0,1000,356,0,800,105.0
436,2428.0,996,381,4,800,128.0
437,2512.0,1000,372,0,800,106.0
438,2144.0,968,368,32,831,177.0
439,2176.0,989,423,11,818,182.0
440,2612.0,1000,347,0,800,127.0
441,2552.0,999,359,1,801,121.0
442,2488.0,992,354,8,815,174.0
443,2184.0,980,394,20,829,170.0
444,2016.0,972,412,28,837,186.0
445,2308.0,985,378,15,821,173.0
446,2564.0,1000,359,0,800,108.0
447,2524.0,990,339,10,813,148.0
448,2212.0,995,432,5,808,150.0
449,2060.0,968,389,32,832,184.0
450,2052.0,986,445,14,825,155.0
451,2536.0,1000,366,0,800,118.0
452,2624.0,1000,344,0,800,122.0
453,2304.0,993,403,7,804,136.0
454,2344.0,992,390,8,813,149.0
455,2356.0,994,393,6,826,164.0
456,2372.0,997,398,3,805,130.0
457,2336.0,1000,416,0,800,128.0
458,2552.0,1000,362,0,800,109.0
459,2616.0,989,313,11,805,132.0
460,2452.0,1000,387,0,800,110.0
461,2552.0,993,341,7,804,140.0
462,2288.0,990,398,10,820,166.0
463,1968.0,975,433,25,823,164.0
464,2004.0,977,430,23,830,188.0
465,2360.0,995,395,5,800,121.0
466,2684.0,986,287,14,817,154.0
467,2276.0,1000,431,0,800,117.0
468,2172.0,969,364,31,810,159.0
469,2112.0,967,373,33,817,184.0
470,2500.0,992,351,8,807,138.0
471,2160.0,992,436,8,820,166.0
472,1928.0,985,473,15,824,157.0
473,2172.0,991,430,9,821,176.0
474,2488.0,995,363,5,810,127.0
475,2484.0,987,340,13,817,144.0
476,2392.0,1000,402,0,807,121.0
477,2116.0,985,426,15,815,178.0
478,2164.0,983,408,17,831,190.0
479,2036.0,1000,491,0,800,117.0
480,2012.0,1000,497,0,808,142.0
481,2404.0,992,375,8,812,148.0
482,2304.0,985,379,15,807,142.0
483,2364.0,990,379,10,814,148.0
484,1932.0,961,400,39,816,177.0
485,2364.0,1000,409,0,800,115.0
486,2520.0,1000,370,0,817,135.0
487,2336.0,1000,416,0,800,127.0
488,2132.0,983,416,17,822,162.0
489,1892.0,957,398,43,819,188.0
490,2440.0,998,384,2,800,128.0
491,2312.0,999,419,1,818,136.0
492,2496.0,995,361,5,818,130.0
493,2512.0,991,345,9,830,174.0
494,2096.0,956,344,44,824,182.0
495,1900.0,964,417,36,817,178.0
496,2544.0,993,343,7,829,180.0
497,2356.0,999,408,1,811,131.0
498,1212.0,927,478,73,812,186.0
499,2140.0,989,432,11,821,170.0
