truck_speed_miles_per_min,mean_profit,mean_sales,mean_lost,mean_distance
0.25,-5440.02,504.33,872.995,92.085
0.4166666666666667,104.0,851.97,529.91,136.435
0.5833333333333334,2251.4,986.595,396.935,149.56
0.75,2470.34,999.655,381.38,128.7
0.9166666666666666,2481.32,999.565,378.365,113.58
